,from,to,intensity_forecast,intensity_index,generationmix_biomass,generationmix_coal,generationmix_imports,generationmix_gas,generationmix_nuclear,generationmix_other,generationmix_hydro,generationmix_solar,generationmix_wind,regionid,shortname,postcode
0,2024-08-24T23:30Z,2024-08-25T00:00Z,82,low,1.7,0,0.0,20.2,9.1,0,5.0,0.0,64.0,14,South East England,BN3
1,2024-08-25T00:00Z,2024-08-25T00:30Z,79,low,1.4,0,0.0,19.5,9.9,0,4.1,0.0,65.1,14,South East England,BN3
2,2024-08-25T00:30Z,2024-08-25T01:00Z,78,low,1.2,0,0.0,19.5,10.9,0,3.2,0.0,65.2,14,South East England,BN3
3,2024-08-25T01:00Z,2024-08-25T01:30Z,85,low,1.3,0,0.0,21.3,11.0,0,2.5,0.0,63.9,14,South East England,BN3
4,2024-08-25T01:30Z,2024-08-25T02:00Z,80,low,1.5,0,0.0,20.0,11.3,0,2.0,0.0,65.2,14,South East England,BN3
5,2024-08-25T02:00Z,2024-08-25T02:30Z,80,low,1.4,0,0.0,19.9,11.9,0,2.0,0.0,64.7,14,South East England,BN3
6,2024-08-25T02:30Z,2024-08-25T03:00Z,91,low,1.5,0,0.0,22.6,12.0,0,2.3,0.0,61.7,14,South East England,BN3
7,2024-08-25T03:00Z,2024-08-25T03:30Z,82,low,1.6,0,0.0,20.4,12.2,0,2.7,0.0,63.1,14,South East England,BN3
8,2024-08-25T03:30Z,2024-08-25T04:00Z,79,low,1.5,0,0.0,19.5,12.7,0,3.1,0.0,63.2,14,South East England,BN3
9,2024-08-25T04:00Z,2024-08-25T04:30Z,89,low,1.6,0,0.0,22.2,13.5,0,3.0,0.0,59.7,14,South East England,BN3
10,2024-08-25T04:30Z,2024-08-25T05:00Z,96,low,1.5,0,0.0,23.8,14.0,0,2.8,0.0,57.8,14,South East England,BN3
11,2024-08-25T05:00Z,2024-08-25T05:30Z,111,moderate,1.9,0,0.0,27.5,14.3,0,2.3,0.0,53.9,14,South East England,BN3
12,2024-08-25T05:30Z,2024-08-25T06:00Z,97,low,2.8,0,0.3,23.8,11.2,0,2.1,2.9,57.0,14,South East England,BN3
13,2024-08-25T06:00Z,2024-08-25T06:30Z,113,moderate,2.9,0,0.3,27.8,7.0,0,1.6,8.4,52.0,14,South East England,BN3
14,2024-08-25T06:30Z,2024-08-25T07:00Z,94,low,0.3,0,38.8,21.1,7.4,0,1.8,8.7,21.9,14,South East England,BN3
15,2024-08-25T07:00Z,2024-08-25T07:30Z,95,low,0.3,0,41.9,21.2,2.3,0,1.8,13.3,19.2,14,South East England,BN3
16,2024-08-25T07:30Z,2024-08-25T08:00Z,112,moderate,0.3,0,32.0,24.4,1.2,0,2.4,20.3,19.5,14,South East England,BN3
17,2024-08-25T08:00Z,2024-08-25T08:30Z,130,moderate,0.0,0,29.5,29.7,0.0,0,4.3,21.1,15.5,14,South East England,BN3
18,2024-08-25T08:30Z,2024-08-25T09:00Z,102,low,0.0,0,40.9,21.1,0.0,0,5.3,20.2,12.5,14,South East England,BN3
19,2024-08-25T09:00Z,2024-08-25T09:30Z,86,low,0.0,0,41.6,17.2,0.0,0,4.6,21.5,15.1,14,South East England,BN3
20,2024-08-25T09:30Z,2024-08-25T10:00Z,83,low,0.0,0,39.8,16.8,0.0,0,3.7,22.4,17.3,14,South East England,BN3
21,2024-08-25T10:00Z,2024-08-25T10:30Z,91,low,0.0,0,38.1,19.1,0.0,0,3.0,21.6,18.2,14,South East England,BN3
22,2024-08-25T10:30Z,2024-08-25T11:00Z,90,low,0.0,0,37.5,18.9,0.0,0,2.7,22.2,18.7,14,South East England,BN3
23,2024-08-25T11:00Z,2024-08-25T11:30Z,94,low,0.0,0,35.3,20.3,0.2,0,2.2,21.9,20.2,14,South East England,BN3
24,2024-08-25T11:30Z,2024-08-25T12:00Z,98,low,0.0,0,30.6,21.8,1.1,0,1.9,22.2,22.4,14,South East England,BN3
25,2024-08-25T12:00Z,2024-08-25T12:30Z,100,low,0.0,0,28.7,22.6,1.8,0,1.9,21.4,23.7,14,South East England,BN3
26,2024-08-25T12:30Z,2024-08-25T13:00Z,91,low,0.0,0,24.3,20.6,2.4,0,1.7,21.0,30.0,14,South East England,BN3
27,2024-08-25T13:00Z,2024-08-25T13:30Z,90,low,0.0,0,24.3,20.4,3.4,0,1.7,19.3,31.0,14,South East England,BN3
28,2024-08-25T13:30Z,2024-08-25T14:00Z,94,low,0.0,0,20.9,21.6,5.3,0,1.4,18.3,32.6,14,South East England,BN3
29,2024-08-25T14:00Z,2024-08-25T14:30Z,82,low,0.1,0,18.9,18.6,5.6,0,1.3,17.7,38.0,14,South East England,BN3
30,2024-08-25T14:30Z,2024-08-25T15:00Z,90,low,0.2,0,3.8,22.3,5.8,0,1.3,18.0,48.6,14,South East England,BN3
31,2024-08-25T15:00Z,2024-08-25T15:30Z,125,moderate,0.2,0,2.9,31.4,5.4,0,1.8,14.0,44.3,14,South East England,BN3
32,2024-08-25T15:30Z,2024-08-25T16:00Z,99,low,0.3,0,3.3,25.1,5.2,0,2.3,12.7,51.2,14,South East England,BN3
33,2024-08-25T16:00Z,2024-08-25T16:30Z,117,moderate,0.4,0,3.8,29.4,4.8,0,1.9,9.7,50.0,14,South East England,BN3
34,2024-08-25T16:30Z,2024-08-25T17:00Z,109,low,0.3,0,15.2,27.2,4.9,0,2.3,6.2,43.9,14,South East England,BN3
35,2024-08-25T17:00Z,2024-08-25T17:30Z,94,low,0.3,0,16.4,23.3,5.3,0,2.9,4.1,47.6,14,South East England,BN3
36,2024-08-25T17:30Z,2024-08-25T18:00Z,105,low,0.4,0,13.8,26.2,5.9,0,2.9,2.3,48.5,14,South East England,BN3
37,2024-08-25T18:00Z,2024-08-25T18:30Z,117,moderate,0.4,0,13.2,29.2,6.0,0,3.3,1.0,46.9,14,South East England,BN3
38,2024-08-25T18:30Z,2024-08-25T19:00Z,125,moderate,0.5,0,6.6,31.4,6.0,0,3.8,0.2,51.5,14,South East England,BN3
39,2024-08-25T19:00Z,2024-08-25T19:30Z,128,moderate,0.4,0,6.2,32.1,6.4,0,4.1,0.2,50.5,14,South East England,BN3
40,2024-08-25T19:30Z,2024-08-25T20:00Z,130,moderate,0.5,0,1.3,32.8,6.3,0,4.4,0.0,54.8,14,South East England,BN3
41,2024-08-25T20:00Z,2024-08-25T20:30Z,137,moderate,0.5,0,1.0,34.5,5.7,0,4.6,0.3,53.4,14,South East England,BN3
42,2024-08-25T20:30Z,2024-08-25T21:00Z,142,moderate,0.3,0,4.7,35.7,6.2,0,5.9,0.0,47.2,14,South East England,BN3
43,2024-08-25T21:00Z,2024-08-25T21:30Z,134,moderate,0.3,0,4.5,33.8,6.3,0,5.9,0.1,49.1,14,South East England,BN3
44,2024-08-25T21:30Z,2024-08-25T22:00Z,140,moderate,0.4,0,0.3,35.4,6.3,0,4.6,0.0,53.0,14,South East England,BN3
45,2024-08-25T22:00Z,2024-08-25T22:30Z,141,moderate,0.3,0,0.2,35.7,6.9,0,3.3,0.0,53.4,14,South East England,BN3
46,2024-08-25T22:30Z,2024-08-25T23:00Z,145,moderate,0.3,0,0.2,36.7,6.8,0,2.7,0.0,53.3,14,South East England,BN3
47,2024-08-25T23:00Z,2024-08-25T23:30Z,137,moderate,0.3,0,0.2,34.6,7.2,0,2.6,0.0,55.1,14,South East England,BN3
48,2024-08-25T23:30Z,2024-08-26T00:00Z,142,moderate,0.4,0,0.2,36.0,7.0,0,2.4,0.0,54.0,14,South East England,BN3
